,shape_id,shape_pt_sequence,elevation
2693,60-1-d12-1.1.O,168,3
2694,60-1-d12-1.1.O,169,3
2695,60-1-d12-1.1.O,170,3
2696,60-1-d12-1.1.O,171,4
2697,60-1-d12-1.1.O,172,4
2698,60-1-d12-1.1.O,173,4
2699,60-1-d12-1.1.O,174,4
2700,60-1-d12-1.1.O,175,4
2701,60-1-d12-1.1.O,176,4
2702,60-1-d12-1.1.O,177,4
2703,60-1-d12-1.1.O,178,4
2704,60-1-d12-1.1.O,179,4
2705,60-1-d12-1.1.O,180,4
2706,60-1-d12-1.1.O,181,4
2707,60-1-d12-1.1.O,182,4
2708,60-1-d12-1.1.O,183,4
2709,60-1-d12-1.1.O,184,4
2710,60-1-d12-1.1.O,185,5
2711,60-1-d12-1.1.O,186,5
2712,60-1-d12-1.1.O,187,5
2713,60-1-d12-1.1.O,188,5
2714,60-1-d12-1.1.O,189,5
2715,60-1-d12-1.1.O,190,5
2716,60-1-d12-1.1.O,191,5
2717,60-1-d12-1.1.O,192,4
2718,60-1-d12-1.1.O,193,4
2719,60-1-d12-1.1.O,194,3
2720,60-1-d12-1.1.O,195,3
2721,60-1-d12-1.1.O,196,3
2722,60-1-d12-1.1.O,197,2
2723,60-1-d12-1.1.O,198,2
2724,60-1-d12-1.1.O,199,4
2725,60-1-d12-1.1.O,200,4
2726,60-1-d12-1.3.I,1,4
2727,60-1-d12-1.3.I,2,4
2728,60-1-d12-1.3.I,3,4
2729,60-1-d12-1.3.I,4,4
2730,60-1-d12-1.3.I,5,4
2731,60-1-d12-1.3.I,6,4
2732,60-1-d12-1.3.I,7,4
2733,60-1-d12-1.3.I,8,4
2734,60-1-d12-1.3.I,9,2
2735,60-1-d12-1.3.I,10,3
2736,60-1-d12-1.3.I,11,3
2737,60-1-d12-1.3.I,12,4
2738,60-1-d12-1.3.I,13,4
2739,60-1-d12-1.3.I,14,5
2740,60-1-d12-1.3.I,15,5
2741,60-1-d12-1.3.I,16,5
2742,60-1-d12-1.3.I,17,5
2743,60-1-d12-1.3.I,18,5
2744,60-1-d12-1.3.I,19,5
2745,60-1-d12-1.3.I,20,5
2746,60-1-d12-1.3.I,21,4
2747,60-1-d12-1.3.I,22,4
2748,60-1-d12-1.3.I,23,4
2749,60-1-d12-1.3.I,24,4
2750,60-1-d12-1.3.I,25,4
2751,60-1-d12-1.3.I,26,4
2752,60-1-d12-1.3.I,27,4
2753,60-1-d12-1.3.I,28,4
2754,60-1-d12-1.3.I,29,4
2755,60-1-d12-1.3.I,30,4
2756,60-1-d12-1.3.I,31,4
2757,60-1-d12-1.3.I,32,4
2758,60-1-d12-1.3.I,33,4
2759,60-1-d12-1.3.I,34,4
2760,60-1-d12-1.3.I,35,4
2761,60-1-d12-1.3.I,36,4
